mS1,mS2,mR,xsec_TChannel (fb),xsec_GluonSplit (fb)
3366.613,6851.08,6857.208,0.2145400000000041,0.004728480600000057
3190.332,10137.11,10133.17,4.780400015163901e-08,1.0433961119170514e-09
3357.608,10093.64,10098.69,0.07806500000000843,0.001743239960000173
3583.645,10097.16,10112.37,0.2507300000000022,0.005463110280000047
2991.942,6263.096,6249.52,2.933900000000045,0.06283041700000054
3468.407,7042.972,7028.411,1.0760000000004144,0.023653226380007036
3941.576,6493.886,6498.819,0.23509000000003274,0.0052153726000004385
3152.502,7075.783,7084.928,0.2889200000002509,0.006269932110006774
3018.612,6746.782,6736.656,0.5214000000000033,0.011524705500000175
3199.306,7952.206,7958.828,0.25659000000000526,0.005434936400000177
3730.4,6908.261,6912.833,0.1696700000000048,0.003684922192000112
3957.745,8827.068,8810.273,1.46750000000785e-09,3.248427190014439e-11
3377.049,7862.432,7856.389,0.010159000000097607,0.00022248084100109745
3724.895,8488.079,8504.326,0.3099700000000153,0.006799239410000145
2527.735,8591.06,8595.237,0.18677000000018038,0.003928150600006141
3267.009,8782.515,8789.993,0.06680000000010775,0.0014958884100013795
3533.593,7940.316,7931.644,1.538400000000007,0.033543521720000156
3512.449,8229.723,8242.951,1.4513000000225761e-08,3.163783914102691e-10
3588.249,6775.583,6782.482,0.32092000000001103,0.007164054040000156
3268.749,10089.8,10097.45,0.08357100000009209,0.001886110400002017
3211.479,10608.84,10600.05,0.12148000000008086,0.00265979362000124
3588.479,6149.522,6156.407,0.6780800000000164,0.014949353100000182
3638.33,7801.074,7807.789,0.22413000000005717,0.004871498830000493
3363.894,10863.8,10855.23,0.06958100000000311,0.0015801979970000413
2870.482,9097.432,9091.002,0.5712600000000083,0.012290677500000114
3293.725,7597.399,7602.74,0.7290300000000033,0.0158794880000001
3429.82,11626.39,11640.62,0.44852000000005665,0.00975503395200136
3313.195,9754.419,9735.325,0.15673000000001322,0.0034686096400004434
3905.492,7199.294,7222.737,0.07739800000000219,0.001772553036000038
4011.992,8932.736,8937.961,0.1437500000000007,0.0031069435300000183
3214.508,8674.596,8662.582,0.10452000000000114,0.002318087370000064
2619.047,9826.085,9830.689,0.2245800000002923,0.004811896500006921
3596.375,5912.096,5935.314,0.25466000000000316,0.005655859801000078
3471.299,13907.79,13897.66,7.763800001499242e-09,1.7020778263281253e-10
2803.457,7482.152,7462.858,0.29626000000005787,0.006382894300002153
3114.179,8039.187,8049.64,0.10895000000000471,0.0023703173400001156
3338.466,10889.96,10873.79,9.176500002555791e-08,2.0377144103889387e-09
3614.979,11561.57,11569.7,9.383100000238791e-09,2.0648791690342603e-10
3782.51,7702.357,7726.438,0.06360100000005418,0.0014094222273009656
3289.865,7212.644,7224.623,0.7291800000002862,0.016028420600005155
4036.628,6689.424,6695.694,0.036761000000011625,0.0008275669709002204
2899.007,5657.204,5677.611,0.33751000000021353,0.007389506000002655
4187.043,9479.591,9486.868,0.04638900000000112,0.001038877866000014
3752.191,8480.991,8476.908,1.2146000006695997e-09,2.7333780009154348e-11
3639.408,9976.62,9980.537,0.2855700000000278,0.006356080700000391
4115.674,5722.651,5732.049,0.134530000000022,0.002992431123000305
3611.362,9586.175,9598.414,0.06095900000000583,0.0013367113970000745
3324.883,8355.679,8346.07,0.024711000000000878,0.0005322912740000569
2986.751,9420.484,9424.429,0.37795000000055756,0.008238276600009625
3732.621,5381.529,5402.935,0.8744700000001265,0.01937033740000263
3619.891,6314.148,6301.402,0.240810000000281,0.0053080196080064375
3385.148,10415.68,10404.29,0.1787600000000035,0.004043701790000093
3754.084,9114.439,9102.985,0.07057400000002534,0.0015322008894811244
4012.735,10754.7,10760.25,1.8152000004319156e-08,4.041781653508332e-10
3324.29,8650.649,8656.376,0.44714000000006804,0.010245633460003086
3415.44,7034.009,7015.967,0.14337000000008018,0.0031466450400017797
3430.793,9037.675,9033.451,0.06228600000005788,0.0013488257510010963
3785.533,4323.503,4335.236,0.527760000000008,0.011508530700000111
3609.138,9172.528,9176.692,0.13154000000000224,0.0029077433480000784
4340.637,7812.556,7799.664,0.08339900000000541,0.0018640577000000702
3458.946,11057.46,11046.36,9.78110000016002e-09,2.1844470800573384e-10
3489.671,9652.011,9637.745,0.062213000000009074,0.001349628650000291
3430.219,9396.51,9379.768,0.08686700000008171,0.0018871406550015246
3947.785,6490.641,6481.303,0.2398700000000658,0.0052310795300005925
4013.482,8140.771,8127.074,0.08867200000001518,0.0019599755718003264
3468.894,5669.44,5662.794,0.22401000000006258,0.004835949256002149
3773.121,6733.486,6745.535,0.079074000000001,0.001786191530000024
3650.223,4632.692,4648.222,0.27807000000005283,0.006084776100000856
3869.059,4874.172,4885.392,0.19256000000001608,0.004145237740000763
3801.386,6757.395,6729.973,0.10783000000001408,0.0023532853710003204
3611.34,8385.633,8375.219,0.18675000000007083,0.004100354114003089
3616.798,8696.769,8717.638,0.12749000000000327,0.0026918102800000347
3283.519,9210.147,9224.334,0.2824900000001979,0.006241570100002304
3907.621,10970.46,10986.27,1.5629000000000073,0.035171631200000095
4192.199,8858.184,8852.562,0.04094000000001037,0.000902565759000247
3764.409,9520.146,9527.157,0.3778700000000015,0.008334120520000064
3526.158,7326.608,7322.46,0.15810000000003854,0.003495091960001465
3363.48,8090.771,8095.565,0.37588000000007404,0.008598902380001326
2425.716,7838.697,7846.481,0.7947800000001691,0.016864698700002123
3191.894,7140.96,7145.864,0.37167000000006334,0.007880843100002628
3478.192,7294.043,7289.07,0.25821000000000066,0.005626049213000022
3250.808,6386.557,6372.178,0.7190900000000041,0.015728613860000035
3679.833,7828.502,7821.114,0.1315600000000011,0.0028460883100000127
2867.709,8612.351,8617.205,0.2903800000000559,0.006215145300001383
2175.921,7237.806,7253.092,2.641500000001196,0.05602976900003059
3422.706,6854.401,6843.252,0.1112400000000007,0.0024239574500000104
3318.352,7913.775,7919.778,0.1130400000000011,0.002489548000000092
2955.011,7762.619,7752.645,1.2076000000000144,0.026334408000000212
3267.364,6206.014,6225.398,0.34511000000002257,0.007622552200000288
3453.074,6197.398,6186.137,0.17323000000003155,0.003830921680000458
2736.42,6484.074,6505.309,0.6143800000000174,0.013207001910000243
3256.636,6708.165,6713.385,0.793600000000213,0.017777948485009822
2345.192,7633.39,7637.629,0.44420000000002047,0.009652902950000387
3184.412,7600.123,7615.706,0.37474000000001034,0.008208614460000214
2777.589,6435.244,6428.042,0.716910000000011,0.015539468600000241
2385.994,7762.126,7778.023,0.9264200000008072,0.01992585600001335
2254.048,8298.009,8302.181,1.4356000000000784,0.0308602323000024
3634.582,5342.801,5335.724,0.12368000000000039,0.002761733509000013
3506.605,7597.37,7615.837,0.1285200000000013,0.002821273530000007
2697.859,8325.498,8344.34,0.32907000000014586,0.007101416600002
2994.067,6208.909,6214.6,0.45896000000000137,0.009815559600000051
3532.98,8663.609,8655.162,0.1947000000001151,0.004257161140001895
3488.543,7152.495,7164.681,0.11139000000009994,0.0024281735600017126
3229.928,7535.545,7515.175,0.174370000000028,0.003760017880000646
3922.115,7554.008,7541.638,0.20829000000005427,0.004537606260001149
2876.703,7936.913,7931.424,0.6960100000000476,0.015366041710000713
2241.333,7733.949,7750.168,0.8277800000000053,0.017821833880000085
3424.16,7917.204,7921.745,0.717810000000003,0.01616245138000006
2782.66,4790.587,4811.941,0.5309200000002137,0.011359481340002971
2382.138,7401.112,7384.377,0.4802700000001843,0.01025989290000405
3454.781,5860.339,5854.702,0.2444400000000035,0.005366473560000089
2765.475,7867.1,7881.324,1.4579000000000168,0.03156535100000038
